[2024-04-24 12:00:39,143] INFO [Controller id=0 epoch=70] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2024-04-24 12:35:59,450] INFO [Controller id=0 epoch=71] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-04-24 12:35:59,492] INFO [Controller id=0 epoch=71] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2024-04-24 12:35:59,494] INFO [Controller id=0 epoch=71] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2024-04-24 12:35:59,614] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-04-24 12:35:59,641] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 71 as part of the become-leader transition for 52 partitions (state.change.logger)
[2024-04-24 12:35:59,650] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,705] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,762] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,763] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,813] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,863] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,914] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:35:59,964] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,015] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,016] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,065] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
